country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,DataType,Yearly Change Smoothed(moving-averages),World Urban Population,Population Normalized(min-max),Urban Population Normalized(min-max),Median Age Normalized(z-score),Density Normalized(decimal-scaling),Median Age Binned,Yearly Change Binned,Annual_Population_Growth,Migration_Rate,Dependency_Ratio,3_Year_Pop_Avg,is_outlier
United Arab Emirates,1960,92418,0.0304,2568,-35.0,17.8,6.97,1,0.737,68086.0,0.0,3034949748,Historical,10329.0,1023987607,5.6e-05,6.23e-05,-1.125799785,1e-05,Young Adults,Low,-0.3832920717750923,-0.0003787141033132,0.2165450121654502,158929.66666666666,True
Turks And Caicos Islands,2000,20164,0.0445,790,-4000.0,33.0,2.79,21,0.791,15957.0,0.0,6143493823,Historical,1096.333333,2865195724,1.19e-05,1.46e-05,0.391239531,0.00021,Young Adults,Low,-0.2844570617459191,-0.198373338623289,0.4925373134328358,27001.33333333333,True
Tokelau,2000,1554,0.0048,7,-2000.0,24.4,4.35,155,0.0,0.0,0.0,6143493823,Historical,-25.33333333,2865195724,5.55e-07,0.0,-0.467085345,0.00155,Young Adults,Low,0.2864238410596027,-1.287001287001287,0.3227513227513227,1300.6666666666667,True
Tokelau,1965,1922,0.0052,10,-2000.0,24.4,4.35,192,0.0,0.0,0.0,3339583597,Historical,-20.0,1188442083,7.8e-07,0.0,-0.467085345,0.00192,Young Adults,Low,0.1856878470080196,-1.0405827263267429,0.3227513227513228,1705.0,True
Syria,2010,21362529,0.0307,600271,74000.0,21.1,3.7,116,0.547,11686472.0,0.0031,6956823603,Historical,-201528.6667,3589494707,0.013032092,0.010701531,-0.796442565,0.00116,Young Adults,Low,0.1869780915118444,0.0034640093408416,0.267427122940431,18941837.33333333,True
Somalia,1975,3880292,0.0241,87145,0.0,18.2,7.1,6,0.255,989409.0,0.001,4079480606,Historical,213604.0,1540040106,0.002366829,0.000906021,-1.085877698,6e-05,Young Adults,Low,-0.3822306608965833,0.0,0.2224938875305623,5603351.0,True
Sint Maarten,1985,19123,0.0786,1205,27028.0,53.4,1.21,562,0.995,19028.0,0.0,4870921740,Historical,1204.333333,2008908528,1.13e-05,1.74e-05,2.427265981,0.00562,Middle-aged Adults,Low,-0.3362834929890324,1.4133765622548764,1.145922746781116,26365.0,True
Sint Maarten,1980,13100,0.0651,709,27028.0,53.4,1.21,385,1.0,13096.0,0.0,4458003514,Historical,1284.0,1755434817,7.6e-06,1.2e-05,2.427265981,0.00385,Middle-aged Adults,Low,-0.314961041677561,2.063206106870229,1.1459227467811162,20345.0,True
Sint Maarten,1965,4459,0.095,325,27028.0,53.4,1.21,131,0.473,2108.0,0.0,3339583597,Historical,448.3333333,1188442083,2.33e-06,1.93e-06,2.427265981,0.00131,Middle-aged Adults,Low,-0.3503787878787878,6.061448755326307,1.1459227467811162,6960.0,True
Sint Maarten,1960,2833,0.0609,145,27028.0,53.4,1.21,83,0.97,32531.0,0.0,3034949748,Historical,317.0,1023987607,1.34e-06,2.98e-05,2.427265981,0.00083,Middle-aged Adults,Low,-0.3646557524108544,9.54041651959054,1.1459227467811162,4718.666666666667,True
Sint Maarten,1955,2108,0.0706,122,27028.0,53.4,1.21,62,0.97,32531.0,0.0,2773019936,Historical,197.3333333,877161793,8.93e-07,2.98e-05,2.427265981,0.00062,Middle-aged Adults,Low,-0.2559124602894458,12.821631878557875,1.145922746781116,3133.333333333333,True
Singapore,2050,6407532,-0.0012,-7929,27028.0,53.4,1.21,9154,0.994,3478779.0,0.0007,9735033990,Forecasted,-2554.0,6659490517,0.003908604,0.003185586,2.427265981,0.09154,Middle-aged Adults,Low,0.0,0.0042181607520649,1.145922746781116,6407532.0,True
Singapore,2045,6447179,0.0001,337,27028.0,52.1,1.21,9210,0.994,3478779.0,0.0007,9481803274,Forecasted,-2490.0,6294783425,0.003932791,0.003185586,2.297519197,0.0921,Middle-aged Adults,Low,0.0061875617632498,0.0041922211249292,1.0876826722338204,6427355.5,True
