Region,Year,DataType,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Asia,1990,Historical,63256842.39215686,0.025047058823529412,1195787.431372549,-5635.509803921569,22.227450980392156,4.283137254901961,561.9411764705883,0.5217647058823529,1037237941.0,0.011872549019607844,5327231061.0,81.74509803921569
Asia,1995,Historical,68491901.62745099,0.020952941176470587,1047011.9019607843,-18874.62745098039,23.401960784313726,3.75078431372549,625.6274509803922,0.532921568627451,1212778779.0,0.011925490196078433,5744212979.0,81.01960784313725
Asia,2000,Historical,73358105.50980392,0.017762745098039216,973240.725490196,-23442.725490196077,24.625490196078434,3.2052941176470586,692.7058823529412,0.5457058823529412,1396340977.0,0.01194313725490196,6143493823.0,80.88235294117646
Asia,2005,Historical,77999735.33333333,0.019094117647058824,928325.9803921569,-32288.21568627451,26.099999999999998,2.81,758.4313725490196,0.5637549019607843,1625878341.5,0.01192156862745098,6541907027.0,80.3921568627451
Asia,2010,Historical,82541052.80392157,0.022641176470588237,908263.5098039216,-35685.333333333336,27.682352941176468,2.599411764705882,847.4705882352941,0.5813627450980392,1871498186.5,0.011868627450980392,6956823603.0,79.86274509803921
Asia,2015,Historical,86930889.37254901,0.018198039215686274,877967.3333333334,-27271.745098039217,29.274509803921568,2.472156862745098,929.2156862745098,0.5970490196078432,2113198154.5,0.011780392156862746,7379797139.0,79.13725490196079
Asia,2016,Historical,87776624.56862745,0.015576470588235294,845735.1960784313,-33904.23529411765,29.58823529411765,2.4419607843137254,944.1372549019608,0.600421568627451,2162030584.5,0.011762745098039215,7464022049.0,79.2156862745098
Asia,2017,Historical,88608627.98039216,0.014837254901960785,832003.4117647059,-33904.23529411765,29.58823529411765,2.4419607843137254,958.5686274509804,0.603656862745098,2208498454.5,0.01174705882352941,7547858925.0,79.17647058823529
Asia,2018,Historical,89424845.25490196,0.014121568627450981,816217.274509804,-33904.23529411765,29.58823529411765,2.4419607843137254,972.2941176470588,0.6067549019607843,2256377742.5,0.011719607843137254,7631091040.0,79.03921568627452
Asia,2019,Historical,90222964.66666667,0.013380392156862745,798119.4117647059,-33904.23529411765,29.58823529411765,2.4419607843137254,985.3529411764706,0.610107843137255,2304099101.5,0.0116921568627451,7713468100.0,78.94117647058823
Asia,2020,Forecasted,91001074.01960784,0.014111764705882353,814036.9215686275,-33904.23529411765,30.89607843137255,2.3292156862745097,997.6470588235294,0.6155784313725491,2355913867.5,0.011680392156862745,7794798739.0,78.82352941176471
Asia,2020,Historical,91001074.01960784,0.012678431372549018,778109.3529411765,-33904.23529411765,30.89607843137255,2.3292156862745097,997.6470588235294,0.6133627450980392,2351324457.5,0.011680392156862745,7794798739.0,78.82352941176471
Asia,2025,Forecasted,94561361.86274509,0.01073921568627451,712057.568627451,-26224.78431372549,32.57058823529412,2.3292156862745097,1049.5098039215686,0.6330882352941177,2583312303.5,0.011560784313725491,8184437460.0,78.62745098039215
Asia,2030,Forecasted,97531212.96078432,0.008676470588235294,593970.1764705882,-31297.901960784315,34.12549019607843,2.3292156862745097,1095.8039215686274,0.6519313725490196,2795199498.5,0.011407843137254901,8548487400.0,78.7843137254902
Asia,2035,Forecasted,99928667.35294117,0.007154901960784314,479490.8823529412,-33047.03921568627,35.574509803921565,2.3292156862745097,1132.8431372549019,0.6717745098039216,2990896457.5,0.011243137254901961,8887524213.0,79.05882352941177
Asia,2040,Forecasted,101744090.33333333,0.005937254901960784,363084.60784313723,-33241.490196078434,36.94117647058823,2.3292156862745097,1162.4705882352941,0.6886372549019608,3165043333.0,0.011054901960784314,9198847240.0,79.3921568627451
Asia,2045,Forecasted,103003825.39215687,0.004743137254901961,251946.96078431373,-33222.098039215685,38.22549019607843,2.3292156862745097,1186.313725490196,0.7076960784313726,3322477989.0,0.010864705882352941,9481803274.0,79.72549019607843
Asia,2050,Forecasted,103730649.37254901,0.0035411764705882355,145364.76470588235,-32580.58823529412,39.45490196078431,2.3292156862745097,1205.2549019607843,0.7265196078431373,3464541198.0,0.010658823529411764,9735033990.0,80.07843137254902
Europe,1955,Historical,12014141.583333334,0.0110875,113958.0,-8433.958333333334,30.104166666666668,2.970625,479.25,0.5043541666666667,314459087.0,0.004329166666666666,2773019936.0,96.39583333333333
Europe,1960,Historical,12612645.416666666,0.011589583333333334,119700.75,-13176.0625,30.59166666666667,2.8945833333333333,524.0625,0.5314791666666666,347608069.0,0.004158333333333333,3034949748.0,98.04166666666667
